Student ID,First Name,Last Name,GPA,SAT Score,Extracurricular Activities,Recommendation Letters,Application Type,Deposit Paid,Application Fee,Interview Feedback,Admission Decision
bd8be58c-513e-4563-8023-346be8840360,William,Hill,1.46,1423,9,0,Early Decision,1200.0,35.0,9,Accepted
40976e2b-2866-4b93-a9df-0f525804db7c,Valerie,Herrera,0.3,1248,3,1,Regular Decision,0.0,35.0,3,Denied
ced66ce1-950b-4b1c-a1c4-d55accff86a2,Nicole,Pennington,3.33,1184,2,5,Early Decision,1200.0,35.0,9,Accepted
fd0b27b0-87c5-45ef-8f0d-7ee0215339fb,Matthew,Mitchell,0.24,733,5,1,Early Decision,0.0,35.0,7,Denied
02bffed8-b27d-4bc1-9ed0-75f1c0bdd2dd,Zachary,Crawford,1.97,1541,4,1,Regular Decision,1200.0,35.0,9,Accepted
616ee0ae-b811-470e-ad53-d80056fbadc2,Richard,Everett,1.13,1403,1,1,Regular Decision,1200.0,35.0,10,Accepted
712dc591-15cc-4bda-bf48-4f187abbd937,Ana,Randolph,2.02,1520,2,4,Early Action,0.0,0.0,8,Denied
8408df66-50e2-46e5-a453-2d1c86b5b672,Collin,Lawrence,3.85,627,2,0,Regular Decision,0.0,35.0,2,Denied
9d839817-9224-4e29-8d54-4e91c1848eae,Erin,Liu,1.84,1005,10,5,Early Action,1200.0,0.0,9,Accepted
0cddd141-18aa-4c46-a079-0c04261fe0ee,Penny,Russell,3.39,1040,4,1,Early Action,0.0,0.0,6,Denied
e006c822-2f26-4161-a1b1-b386a415705a,Krista,Smith,3.1,555,6,5,Early Decision,1200.0,35.0,10,Accepted
27511c4d-f73a-44ce-aece-fa2c9e35846d,John,Mahoney,0.85,766,2,0,Early Decision,0.0,35.0,5,Denied
1948f324-bbaf-4a6f-b7a0-8ddf722fa4a1,Robin,Barrett,3.49,1176,5,5,Early Action,0.0,0.0,1,Denied
14329596-523c-4b4e-ba15-e4f39410974d,Erin,Wilkins,0.65,1498,5,1,Early Decision,1200.0,35.0,10,Accepted
5b5d9a91-e457-4145-92e5-8b6a232b5a45,Larry,Glass,1.56,578,1,2,Early Decision,0.0,35.0,2,Denied
0402e0b8-3eaa-4d21-9f30-db9417a6d146,Joshua,Frazier,0.62,1481,2,2,Early Decision,0.0,35.0,3,Denied
9422df34-9229-46cf-8c6c-b3540ab29e97,Ashley,Wilson,2.35,856,6,2,Regular Decision,0.0,35.0,10,Accepted
746614cf-ad0d-47b8-9064-81240e26c6de,Jennifer,Fuentes,2.4,1354,8,3,Early Decision,0.0,35.0,8,Denied
0b5da75f-85ec-48fb-9782-8293df722a65,Jane,Sharp,0.45,1568,10,0,Regular Decision,0.0,35.0,6,Denied
898c6215-7eae-4dd9-80b9-88bfa69d5f30,Danielle,Ward,1.32,505,8,2,Early Action,0.0,0.0,6,Denied
3e6e676a-74c4-4ad6-82ab-1f8bde3934fd,Jennifer,Watts,2.5,1399,10,5,Regular Decision,1200.0,35.0,9,Accepted
6596b9ae-cdd6-4f8f-a4a0-55dcdbddcc82,Craig,Evans,3.45,1374,0,0,Early Action,1200.0,0.0,10,Accepted
3e9d1f9e-3757-46f5-9c56-f496479fef10,Angela,Rangel,3.25,845,8,2,Early Action,0.0,0.0,4,Denied
1d5aec1f-4dfe-40d6-9da1-93fcda4e814c,Jacob,Middleton,0.03,1228,10,1,Early Action,0.0,0.0,4,Denied
